ano,mes,datahora,estado,riscofogo,riscoAbsoluto
2019,Janeiro,2019/01/02 05:45:00,RORAIMA,0.82,1
2019,Janeiro,2019/01/03 03:15:00,PERNAMBUCO,1,1
2019,Janeiro,2019/01/03 03:15:00,PERNAMBUCO,1,1
2019,Janeiro,2019/01/03 04:50:00,PARA,0.4,0
2019,Janeiro,2019/01/03 04:50:00,PARA,0.39,0
2019,Janeiro,2019/01/03 04:55:00,MATO GROSSO,0.01,0
2019,Janeiro,2019/01/03 04:55:00,MATO GROSSO,0.14,0
2019,Janeiro,2019/01/03 04:55:00,SANTA CATARINA,0,0
2019,Janeiro,2019/01/04 03:55:00,SERGIPE,0.52,0
2019,Janeiro,2019/01/04 03:55:00,SERGIPE,1,1
2019,Janeiro,2019/01/04 03:55:00,SERGIPE,1,1
2019,Janeiro,2019/01/04 03:55:00,SERGIPE,1,1
2019,Janeiro,2019/01/04 03:55:00,SERGIPE,1,1
2019,Janeiro,2019/01/04 03:55:00,SERGIPE,1,1
2019,Janeiro,2019/01/04 03:55:00,PARAIBA,1,1
2019,Janeiro,2019/01/04 03:55:00,PARAIBA,1,1
2019,Janeiro,2019/01/04 03:55:00,PARAIBA,1,1
2019,Janeiro,2019/01/04 03:55:00,PARAIBA,1,1
2019,Janeiro,2019/01/04 03:55:00,PERNAMBUCO,1,1
2019,Janeiro,2019/01/04 03:55:00,ALAGOAS,1,1
2019,Janeiro,2019/01/05 04:40:00,PARA,0.2,0
2019,Janeiro,2019/01/05 04:40:00,TOCANTINS,0.71,1
2019,Janeiro,2019/01/05 04:40:00,MARANHAO,0.09,0
2019,Janeiro,2019/01/05 04:40:00,TOCANTINS,0,0
2019,Janeiro,2019/01/05 04:40:00,TOCANTINS,0,0
2019,Janeiro,2019/01/05 04:40:00,TOCANTINS,0,0
2019,Janeiro,2019/01/05 04:40:00,TOCANTINS,0,0
2019,Janeiro,2019/01/05 04:40:00,TOCANTINS,0,0
2019,Janeiro,2019/01/05 04:40:00,BAHIA,0.78,1
2019,Janeiro,2019/01/05 04:40:00,PARA,0.01,0
2019,Janeiro,2019/01/05 04:40:00,MARANHAO,1,1
2019,Janeiro,2019/01/05 04:40:00,MARANHAO,0,0
2019,Janeiro,2019/01/05 04:40:00,MARANHAO,0,0
2019,Janeiro,2019/01/05 04:40:00,MARANHAO,0,0
2019,Janeiro,2019/01/05 04:40:00,PARA,0.2,0
2019,Janeiro,2019/01/05 04:40:00,PARA,0.53,0
2019,Janeiro,2019/01/06 05:25:00,MATO GROSSO,0.36,0
2019,Janeiro,2019/01/06 05:25:00,MATO GROSSO,0.36,0
2019,Janeiro,2019/01/08 03:30:00,SERGIPE,0.57,0
2019,Janeiro,2019/01/08 03:30:00,SERGIPE,1,1
2019,Janeiro,2019/01/08 03:30:00,RIO GRANDE DO NORTE,1,1
2019,Janeiro,2019/01/08 05:05:00,RORAIMA,0.81,1
2019,Janeiro,2019/01/08 05:05:00,RORAIMA,0.8,1
2019,Janeiro,2019/01/08 05:05:00,RORAIMA,0.8,1
2019,Janeiro,2019/01/08 05:10:00,MATO GROSSO,0.06,0
2019,Janeiro,2019/01/08 05:10:00,MATO GROSSO,0.72,1
2019,Janeiro,2019/01/08 05:10:00,MATO GROSSO,0.61,0
2019,Janeiro,2019/01/09 04:15:00,BAHIA,0.46,0
2019,Janeiro,2019/01/09 05:50:00,RORAIMA,0.87,1
2019,Janeiro,2019/01/10 05:00:00,GOIAS,0,0
2019,Janeiro,2019/01/11 04:00:00,RIO GRANDE DO NORTE,,0
2019,Janeiro,2019/01/11 04:05:00,ALAGOAS,1,1
2019,Janeiro,2019/01/11 04:05:00,ALAGOAS,1,1
2019,Janeiro,2019/01/11 04:05:00,MINAS GERAIS,1,1
2019,Janeiro,2019/01/11 05:40:00,RORAIMA,0.5,0
2019,Janeiro,2019/01/11 05:40:00,RORAIMA,0.5,0
2019,Janeiro,2019/01/11 05:40:00,RORAIMA,0.5,0
2019,Janeiro,2019/01/12 04:45:00,GOIAS,0.01,0
2019,Janeiro,2019/01/13 03:50:00,ALAGOAS,1,1
2019,Janeiro,2019/01/13 03:50:00,ALAGOAS,1,1
2019,Janeiro,2019/01/13 05:25:00,RORAIMA,0.5,0
2019,Janeiro,2019/01/13 05:30:00,MATO GROSSO DO SUL,0.36,0
2019,Janeiro,2019/01/13 05:30:00,MATO GROSSO DO SUL,0.37,0
2019,Janeiro,2019/01/13 05:30:00,MATO GROSSO DO SUL,0.29,0
2019,Janeiro,2019/01/14 04:35:00,SAO PAULO,0.12,0
2019,Janeiro,2019/01/14 04:35:00,MATO GROSSO DO SUL,0.32,0
2019,Janeiro,2019/01/14 04:35:00,MATO GROSSO DO SUL,0.33,0
2019,Janeiro,2019/01/15 03:35:00,PERNAMBUCO,1,1
2019,Janeiro,2019/01/15 03:35:00,PERNAMBUCO,1,1
2019,Janeiro,2019/01/16 04:20:00,SERGIPE,1,1
2019,Janeiro,2019/01/16 04:25:00,MINAS GERAIS,0.33,0
2019,Janeiro,2019/01/16 04:25:00,MINAS GERAIS,0.33,0
2019,Janeiro,2019/01/16 04:25:00,MINAS GERAIS,1,1
2019,Janeiro,2019/01/16 04:25:00,MINAS GERAIS,1,1
2019,Janeiro,2019/01/16 04:25:00,ESPIRITO SANTO,1,1
2019,Janeiro,2019/01/16 04:25:00,ESPIRITO SANTO,1,1
2019,Janeiro,2019/01/16 04:25:00,MINAS GERAIS,0.19,0
2019,Janeiro,2019/01/16 04:25:00,RIO DE JANEIRO,0.01,0
2019,Janeiro,2019/01/16 04:25:00,SAO PAULO,1,1
2019,Janeiro,2019/01/16 04:25:00,SAO PAULO,1,1
2019,Janeiro,2019/01/16 05:55:00,RORAIMA,0.05,0
2019,Janeiro,2019/01/16 05:55:00,RORAIMA,0.04,0
2019,Janeiro,2019/01/16 05:55:00,RORAIMA,0.93,1
2019,Janeiro,2019/01/16 05:55:00,RORAIMA,0.93,1
2019,Janeiro,2019/01/16 05:55:00,RORAIMA,0.95,1
2019,Janeiro,2019/01/16 05:55:00,RORAIMA,0.94,1
2019,Janeiro,2019/01/17 05:05:00,MATO GROSSO,0.02,0
2019,Janeiro,2019/01/17 05:05:00,MATO GROSSO,0.27,0
2019,Janeiro,2019/01/17 05:05:00,MATO GROSSO,1,1
2019,Janeiro,2019/01/17 05:05:00,GOIAS,0.02,0
2019,Janeiro,2019/01/17 05:05:00,GOIAS,0.02,0
2019,Janeiro,2019/01/17 05:05:00,GOIAS,0.02,0
2019,Janeiro,2019/01/17 05:05:00,GOIAS,0.02,0
2019,Janeiro,2019/01/17 05:05:00,MATO GROSSO DO SUL,0.54,0
2019,Janeiro,2019/01/17 05:05:00,MATO GROSSO DO SUL,1,1
2019,Janeiro,2019/01/17 05:05:00,MATO GROSSO DO SUL,0.54,0
2019,Janeiro,2019/01/17 05:05:00,MATO GROSSO DO SUL,0.5,0
2019,Janeiro,2019/01/17 05:05:00,MATO GROSSO DO SUL,0.29,0
2019,Janeiro,2019/01/17 05:05:00,MATO GROSSO DO SUL,1,1
2019,Janeiro,2019/01/17 05:10:00,MATO GROSSO DO SUL,1,1
2019,Janeiro,2019/01/18 04:10:00,MINAS GERAIS,0.03,0
2019,Janeiro,2019/01/18 04:10:00,MARANHAO,0.56,0
2019,Janeiro,2019/01/18 04:10:00,TOCANTINS,0.01,0
2019,Janeiro,2019/01/18 04:10:00,TOCANTINS,0.01,0
2019,Janeiro,2019/01/19 04:50:00,TOCANTINS,0.01,0
2019,Janeiro,2019/01/19 04:50:00,TOCANTINS,0.01,0
2019,Janeiro,2019/01/20 04:00:00,ESPIRITO SANTO,1,1
2019,Janeiro,2019/01/21 04:45:00,SAO PAULO,0.67,0
2019,Janeiro,2019/01/22 05:20:00,RORAIMA,0.65,0
2019,Janeiro,2019/01/22 05:25:00,MATO GROSSO DO SUL,0.33,0
2019,Janeiro,2019/01/22 05:25:00,MATO GROSSO DO SUL,0.33,0
2019,Janeiro,2019/01/22 05:25:00,MATO GROSSO DO SUL,0.33,0
2019,Janeiro,2019/01/22 05:25:00,MATO GROSSO DO SUL,1,1
2019,Janeiro,2019/01/22 05:25:00,MATO GROSSO DO SUL,0.33,0
2019,Janeiro,2019/01/23 04:25:00,RIO GRANDE DO NORTE,1,1
2019,Janeiro,2019/01/23 04:25:00,RIO GRANDE DO NORTE,1,1
2019,Janeiro,2019/01/23 04:30:00,BAHIA,0.97,1
2019,Janeiro,2019/01/23 04:30:00,BAHIA,0.98,1
2019,Janeiro,2019/01/23 04:30:00,BAHIA,1,1
2019,Janeiro,2019/01/23 04:30:00,BAHIA,1,1
2019,Janeiro,2019/01/23 04:30:00,GOIAS,0.4,0
2019,Janeiro,2019/01/23 04:30:00,SAO PAULO,1,1
2019,Janeiro,2019/01/23 04:30:00,SAO PAULO,1,1
2019,Janeiro,2019/01/23 04:30:00,PARANA,0,0
2019,Janeiro,2019/01/23 04:30:00,BAHIA,1,1
2019,Janeiro,2019/01/23 04:30:00,BAHIA,0.98,1
2019,Janeiro,2019/01/23 04:30:00,BAHIA,0.98,1
2019,Janeiro,2019/01/23 04:30:00,GOIAS,0.11,0
2019,Janeiro,2019/01/23 06:00:00,RORAIMA,1,1
2019,Janeiro,2019/01/23 06:05:00,RORAIMA,1,1
2019,Janeiro,2019/01/23 06:05:00,RORAIMA,1,1
2019,Janeiro,2019/01/23 06:05:00,RORAIMA,1,1
2019,Janeiro,2019/01/24 03:30:00,PERNAMBUCO,1,1
2019,Janeiro,2019/01/24 03:30:00,PERNAMBUCO,1,1
2019,Janeiro,2019/01/24 03:30:00,PERNAMBUCO,1,1
2019,Janeiro,2019/01/24 05:05:00,RORAIMA,1,1
2019,Janeiro,2019/01/24 05:05:00,RORAIMA,1,1
2019,Janeiro,2019/01/24 05:05:00,RORAIMA,1,1
2019,Janeiro,2019/01/24 05:05:00,RORAIMA,1,1
2019,Janeiro,2019/01/24 05:05:00,RORAIMA,1,1
2019,Janeiro,2019/01/24 05:05:00,RORAIMA,1,1
2019,Janeiro,2019/01/24 05:10:00,RORAIMA,0.43,0
2019,Janeiro,2019/01/24 05:10:00,RORAIMA,1,1
2019,Janeiro,2019/01/24 05:10:00,RORAIMA,1,1
2019,Janeiro,2019/01/24 05:10:00,RORAIMA,1,1
2019,Janeiro,2019/01/24 05:10:00,MATO GROSSO,0,0
2019,Janeiro,2019/01/24 05:10:00,MATO GROSSO,0.09,0
2019,Janeiro,2019/01/24 05:15:00,MATO GROSSO DO SUL,0.01,0
2019,Janeiro,2019/01/24 05:15:00,MATO GROSSO,0,0
2019,Janeiro,2019/01/25 04:15:00,CEARA,,0
2019,Janeiro,2019/01/25 04:15:00,CEARA,,0
2019,Janeiro,2019/01/25 04:15:00,SERGIPE,1,1
2019,Janeiro,2019/01/25 04:15:00,ALAGOAS,1,1
2019,Janeiro,2019/01/25 04:15:00,PARAIBA,1,1
2019,Janeiro,2019/01/25 04:20:00,ESPIRITO SANTO,1,1
2019,Janeiro,2019/01/25 04:20:00,MINAS GERAIS,0.48,0
2019,Janeiro,2019/01/25 05:50:00,RORAIMA,1,1
2019,Janeiro,2019/01/25 05:50:00,RORAIMA,1,1
2019,Janeiro,2019/01/26 03:20:00,ALAGOAS,1,1
2019,Janeiro,2019/01/26 05:00:00,MATO GROSSO DO SUL,1,1
2019,Janeiro,2019/01/26 05:00:00,MATO GROSSO DO SUL,1,1
2019,Janeiro,2019/01/26 05:00:00,MATO GROSSO DO SUL,0.81,1
2019,Janeiro,2019/01/26 05:00:00,MATO GROSSO,0.02,0
2019,Janeiro,2019/01/26 05:00:00,MATO GROSSO,0.46,0
2019,Janeiro,2019/01/26 05:00:00,MATO GROSSO DO SUL,1,1
2019,Janeiro,2019/01/27 04:05:00,SERGIPE,1,1
2019,Janeiro,2019/01/27 04:05:00,ESPIRITO SANTO,1,1
2019,Janeiro,2019/01/27 04:05:00,ESPIRITO SANTO,1,1
2019,Janeiro,2019/01/27 04:05:00,ESPIRITO SANTO,1,1
2019,Janeiro,2019/01/27 04:05:00,ESPIRITO SANTO,1,1
2019,Janeiro,2019/01/27 05:40:00,RORAIMA,0.8,1
2019,Janeiro,2019/01/27 05:40:00,RORAIMA,1,1
